school,contact_type,contact_name,email
Kansas State,club,—,ksuacm@ksu.edu
University of Iowa,club,—,acm@uiowa.edu
Iowa State,club,M. Graham,mgraham@iastate.edu
Penn State,club,—,president@acm.psu.edu
University of Minnesota,career-center,—,csdesk@umn.edu
University of South Florida,club,—,acmofusf@gmail.com
Colorado State,career-center,—,info@cs.colostate.edu
University of Utah,career-center,—,ugrad-help@cs.utah.edu
Loyola University Chicago,career-center,Victoria Bourne,vbourne@luc.edu
University of Missouri,career-center,—,muengradvising@missouri.edu
University of Tennessee,career-center,—,eecs-info@utk.edu
Ohio State,club,—,acmwosu@gmail.com
Clemson,club,—,acm@cs.clemson.edu
UCF,club,—,acm.cecs.ucf@gmail.com
University of Georgia,club,—,ugaacm@uga.edu
Case Western Reserve,club,—,acmcwru@case.edu
Drexel,club,—,drexelcswomen@gmail.com
University of Delaware,club,Jinay Jain,jjain@udel.edu
University of Maryland,club,—,acm.cs.umd@gmail.com
University of Cincinnati,club,—,acmwuc@gmail.com
University of Virginia,career-center,—,careercenter@virginia.edu
University of Pittsburgh,career-center,—,careers@pitt.edu
Boston University,dept,—,cds-admin@bu.edu
UC Irvine,club,—,nunezje@uci.edu
UC Davis,career-center,—,csugadvising@ucdavis.edu
Baylor,dept,Mary Chandler,mary_chandler@baylor.edu
Kent State,dept,—,ugradinfo@cs.kent.edu
