school,contact_type,contact_name,email
Washington State University,dept,—,vcea.info@wsu.edu
University of North Texas,career-center,—,career.center@unt.edu
Missouri University of Science and Technology,career-center,—,career@mst.edu
Ohio University,career-center,—,russcareerservices@ohio.edu
Michigan Technological University,career-center,—,career@mtu.edu
Embry-Riddle Aeronautical University,career-center,—,careers@erau.edu
University of New Mexico,career-center,—,career4u@unm.edu
Boise State University,career-center,—,career@boisestate.edu
University of Idaho,career-center,—,engr-sss@uidaho.edu
Wichita State University,career-center,—,SCA@wichita.edu
Louisiana Tech University,career-center,—,CareerCenter@LATech.edu
University of Toledo,career-center,—,RocketCareerCenter@utoledo.edu
Grand Valley State University,career-center,—,careers@gvsu.edu
Central Michigan University,career-center,—,careers@cmich.edu
Oakland University,career-center,—,careers@oakland.edu
Milwaukee School of Engineering,career-center,—,career-connections-center@msoe.edu
North Dakota State University,career-center,—,ndsu.coe@ndsu.edu
Northeastern University,club,—,acm@ccs.neu.edu
Rutgers University,dept,—,hello@soe.rutgers.edu
