school,contact_type,contact_name,email
Stanford,club,—,annieee@stanford.edu
Carnegie Mellon,career-center,—,careers@cs.cmu.edu
UC Berkeley,career-center,—,cs-advising@berkeley.edu
Princeton,career-center,—,careerdevelopment@princeton.edu
UIUC,club,—,officers@acm.illinois.edu
UT Austin,club,—,pres@texasacm.org
UC San Diego,club,—,contact@acmucsd.org
UCLA,club,—,acm@ucla.edu
Columbia,career-center,—,ug-advising@cs.columbia.edu
University of Washington,career-center,—,usst@cs.washington.edu
UW-Madison,club,—,sacm@cs.wisc.edu
USC,club,—,uscacm@gmail.com
Purdue,club,—,acm@purdue.edu
Brown,career-center,—,dept@cs.brown.edu
