hackathon,school,email,confidence,source
PennApps,UPenn,contact@pennapps.com,high,pennapps.com
HopHacks,Johns Hopkins,hophacks@gmail.com,high,hophacks.com
DubHacks,University of Washington,hello@dubhacks.co,high,dubhacks.co/get-involved
TreeHacks,Stanford,treehacks@gmail.com,medium,treehacks.com (search-sourced)
MHacks,Michigan,hackathon@umich.edu,medium,mhacks.org (search-sourced)
HackPrinceton,Princeton,sponsor@hackprinceton.com,medium,hackprinceton.com (search-sourced)
BigRed//Hacks,Cornell,info@bigredhacks.com,medium,bigredhacks.com (search-sourced)
YHack,Yale,team@yhack.org,medium,yhack.org (search-sourced)
LA Hacks,UCLA,info@lahacks.com,medium,lahacks.com/sponsor-us (search-sourced)
HackIllinois,UIUC,contact@hackillinois.org,medium,hackillinois.org (search-sourced)
HackTX,UT Austin,hello@freetailhackers.com,medium,hacktx.com (search-sourced)
Hack@Brown,Brown,sponsor@hackatbrown.org,medium,hackatbrown.org (search-sourced)
HackRPI,RPI,hackrpi@rpi.edu,medium,hackrpi.com (search-sourced)
HackUMass,UMass Amherst,team@hackumass.com,medium,hackumass.com (search-sourced)
VandyHacks,Vanderbilt,info@vandyhacks.org,medium,vandyhacks.org (search-sourced)
HackNC,UNC Chapel Hill,sponsors@hacknc.com,medium,hacknc.com (search-sourced)
SB Hacks,UC Santa Barbara,sponsors@sbhacks.com,medium,sbhacks.com (search-sourced)
HackWashU,WashU St. Louis,hackwashu@gmail.com,medium,hackwashu.com (search-sourced)
CruzHacks,UC Santa Cruz,amit@cruzhacks.com,low,santacruztechbeat.com (2018 article, possibly stale)
