school,tier,contact_type,contact_name,email,discount_code,confidence,source_url,status,sent_at,notes
Stanford,top,club,—,annieee@stanford.edu,STANFORD10,verified,https://www.stanfordacm.org/contact,sent,,
Carnegie Mellon,top,career-center,—,careers@cs.cmu.edu,CMU10,verified,https://www.cs.cmu.edu/scs-careers/,sent,,
UC Berkeley,top,career-center,—,ess@berkeley.edu,BERKELEY10,verified,https://engineering.berkeley.edu/admissions/undergraduate-admissions/department-contacts/,sent,,
Princeton,top,career-center,—,careerdevelopment@princeton.edu,PRINCETON10,verified,https://careerdevelopment.princeton.edu/how-we-help/contact-us,sent,,
UIUC,top,club,—,officers@acm.illinois.edu,UIUC10,verified,https://www.acm.illinois.edu/about/,sent,,
UT Austin,top,club,—,pres@texasacm.org,UTEXAS10,verified,https://www.texasacm.org/,sent,,
UC San Diego,top,club,—,contact@acmucsd.org,UCSD10,verified,https://acmucsd.com/,sent,,
UCLA,top,club,—,acm@ucla.edu,UCLA10,verified,https://www.uclaacm.com/about,sent,,
Columbia,top,career-center,—,careereducation@columbia.edu,COLUMBIA10,verified,https://bulletin.columbia.edu/columbia-engineering/directory-university-resources/,sent,,
University of Washington,top,career-center,—,engrhire@uw.edu,UWASH10,verified,https://engineering.uw.edu/students/career-center,sent,,
UW-Madison,top,club,—,sacm@cs.wisc.edu,UWMADISON10,verified,https://sacm.cs.wisc.edu/about,sent,,
USC,top,club,—,uscacm@gmail.com,USC10,verified,https://www.cs.usc.edu/students/cs-student-organizations/,sent,,
Purdue,top,club,—,acm@purdue.edu,PURDUE10,verified,https://acm.cs.purdue.edu/,sent,,
Brown,top,career-center,Emily Nolan,Emily_Nolan@brown.edu,BROWN10,verified,https://engineering.brown.edu/resources/prospective-employers,sent,,
Kansas State,mid,club,—,ksuacm@ksu.edu,KSTATE10,verified,https://orgcentral.k-state.edu/acm/leadership-team/,sent,,
University of Iowa,mid,club,—,acm@uiowa.edu,UIOWA10,verified,https://acm.org.uiowa.edu/contact,sent,,
Iowa State,mid,club,M. Graham,mgraham@iastate.edu,IOWASTATE10,verified,https://cse.cs.iastate.edu/contact,sent,,
Penn State,mid,club,—,president@acm.psu.edu,PENNSTATE10,verified,https://acm.psu.edu/,sent,,
University of Minnesota,mid,career-center,—,csdesk@umn.edu,UMN10,verified,https://cse.umn.edu/cs/contact,sent,,
University of South Florida,mid,club,—,acmofusf@gmail.com,USF10,verified,https://bullsconnect.usf.edu/acm/contact-us/,sent,,
Colorado State,mid,career-center,—,info@cs.colostate.edu,COLOSTATE10,verified,https://www.cs.colostate.edu/,sent,,
University of Utah,mid,career-center,—,ugrad-help@cs.utah.edu,UUTAH10,verified,https://www.cs.utah.edu/,sent,,
Loyola University Chicago,mid,career-center,Victoria Bourne,vbourne@luc.edu,LOYOLACHI10,verified,https://www.luc.edu/cs/aboutus/contactus/,sent,,
University of Missouri,mid,career-center,—,muengradvising@missouri.edu,MIZZOU10,verified,missouri.edu (Engineering Advising Office),sent,,
University of Tennessee,mid,career-center,—,eecs-info@utk.edu,UTENN10,verified,https://eecs.utk.edu/,sent,,
Ohio State,mid,club,—,acmwosu@gmail.com,OHIOSTATE10,verified,https://acmwosu.github.io/,sent,,
Clemson,mid,club,—,acm@cs.clemson.edu,CLEMSON10,verified,https://computing.clemson.edu/acm/contact/,sent,,
UCF,mid,club,—,acm.cecs.ucf@gmail.com,UCF10,verified,https://ucf.acm.org/,sent,,
University of Georgia,mid,club,—,ugaacm@uga.edu,UGA10,verified,https://acm-uga.github.io/,sent,,
Case Western Reserve,mid,club,—,acmcwru@case.edu,CWRU10,verified,https://community.case.edu/acm/contact-us/,sent,,
Drexel,mid,club,—,drexelcswomen@gmail.com,DREXEL10,verified,https://drexelwics.hosting.acm.org/index.html,sent,,
University of Delaware,mid,club,Jinay Jain,jjain@udel.edu,UDEL10,verified,https://www.cis.udel.edu/academics/undergraduate-programs/cis-student-clubs/,sent,,
University of Maryland,mid,club,—,acm.cs.umd@gmail.com,UMD10,medium (search-sourced),https://acm.cs.umd.edu/home/,sent,,
University of Cincinnati,mid,club,—,acmwuc@gmail.com,UCINCY10,medium (search-sourced),search-sourced,sent,,
University of Virginia,mid,career-center,—,careercenter@virginia.edu,UVA10,verified,https://career.virginia.edu/,sent,,
University of Pittsburgh,mid,career-center,—,careers@pitt.edu,PITT10,verified,https://careercentral.pitt.edu/,sent,,
Boston University,mid,dept,—,cds-admin@bu.edu,BU10,verified,https://www.bu.edu/cds-faculty/stay-connected/,sent,,
UC Irvine,mid,club,—,nunezje@uci.edu,UCIRVINE10,medium (personal address),search-sourced,sent,,
UC Davis,mid,career-center,—,csugadvising@ucdavis.edu,UCDAVIS10,medium (403 on direct verify),search-sourced,sent,,
Baylor,mid,dept,Mary Chandler,mary_chandler@baylor.edu,BAYLOR10,verified,https://www.ecs.baylor.edu/current-students/student-organizations-0,sent,,
Kent State,mid,dept,—,ugradinfo@cs.kent.edu,KENTSTATE10,verified,https://www.kent.edu/cs/contact-information,sent,,
Texas A&M,mid,career-center,—,easa@tamu.edu,TAMU10,verified,https://engineering.tamu.edu/academics/career-center/contact.html,sent,,
Arizona State,mid,career-center,—,engineering.careers@asu.edu,ASU10,verified,https://career.engineering.asu.edu/,sent,,
University of Florida,mid,career-center,—,UFCareerCenter@ufsa.ufl.edu,UFLORIDA10,verified,https://career.ufl.edu/,sent,,
University of Arizona,mid,career-center,—,career@arizona.edu,UARIZONA10,verified,https://career.arizona.edu/,sent,,
UC Santa Barbara,mid,career-center,—,coe-info@engineering.ucsb.edu,UCSB20,verified,https://engineering.ucsb.edu/undergraduate/internships-and-careers,sent,,
CU Boulder,mid,career-center,—,cueng@colorado.edu,CUBOULDER20,verified,https://www.colorado.edu/engineering/engineering-career-services,sent,,
Worcester Polytechnic Institute,mid,career-center,—,cdc@wpi.edu,WPI20,verified,https://cdc.wpi.edu/,sent,,
Rochester Institute of Technology,mid,career-center,—,careerservices@rit.edu,RIT20,verified,https://www.rit.edu/careerservices/,sent,,
Wayne State University,mid,career-center,—,careerservices@wayne.edu,WAYNESTATE20,verified,https://careerservices.wayne.edu/about/contact,sent,,
University of Nebraska-Lincoln,mid,career-center,—,engineeringcareers@unl.edu,UNL20,verified,https://engineering.unl.edu/career-services/about/,sent,,
Syracuse University,mid,career-center,—,careers@syr.edu,SYRACUSE20,verified,https://careerservices.syr.edu/contact/,sent,,
