school,code
"Stanford",STANFORD10
"Carnegie Mellon",CMU10
"UC Berkeley",BERKELEY10
"Princeton",PRINCETON10
"UIUC",UIUC10
"UT Austin",UTEXAS10
"UC San Diego",UCSD10
"UCLA",UCLA10
"Columbia",COLUMBIA10
"University of Washington",UWASH10
"UW-Madison",UWMADISON10
"USC",USC10
"Purdue",PURDUE10
"Brown",BROWN10
"MIT",MIT10
"Harvard",HARVARD10
"Yale",YALE10
"Cornell",CORNELL10
"University of Michigan",UMICH10
"Georgia Tech",GATECH10
"University of Pennsylvania",UPENN10
"Caltech",CALTECH10
"University of Chicago",UCHICAGO10
"Duke",DUKE10
"Johns Hopkins",JHU10
"NYU",NYU10
"Rutgers",RUTGERS10
"Ohio State",OHIOSTATE10
"Penn State",PENNSTATE10
"University of Maryland",UMD10
"University of Virginia",UVA10
"Virginia Tech",VATECH10
"North Carolina State",NCSTATE10
"University of North Carolina",UNC10
"Boston University",BU10
"Northeastern",NEU10
"University of Florida",UFLORIDA10
"Florida State",FLORIDASTATE10
"Georgia State",GASTATE10
"University of Arizona",UARIZONA10
"Arizona State",ASU10
"University of Colorado Boulder",CUBOULDER10
"Colorado State",COLOSTATE10
"University of Utah",UUTAH10
"University of Oregon",UOREGON10
"Oregon State",OREGONSTATE10
"University of Minnesota",UMN10
"Iowa State",IOWASTATE10
"University of Iowa",UIOWA10
"Michigan State",MSU10
"Indiana University",INDIANA10
"Notre Dame",NOTREDAME10
"Vanderbilt",VANDERBILT10
"Rice",RICE10
"Texas A&M",TAMU10
"Baylor",BAYLOR10
"SMU",SMU10
"University of Houston",UHOUSTON10
"Texas Tech",TTU10
"University of Miami",UMIAMI10
"University of South Florida",USF10
"Case Western Reserve",CWRU10
"University of Rochester",UROCHESTER10
"Rensselaer Polytechnic",RPI10
"Stevens Institute of Technology",STEVENS10
"Drexel",DREXEL10
"Temple",TEMPLE10
"Villanova",VILLANOVA10
"Lehigh",LEHIGH10
"Syracuse",SYRACUSE10
"University of Connecticut",UCONN10
"University of Massachusetts Amherst",UMASS10
"Boston College",BC10
"Tufts",TUFTS10
"Dartmouth",DARTMOUTH10
"Brandeis",BRANDEIS10
"William & Mary",WM10
"George Washington",GWU10
"Georgetown",GEORGETOWN10
"American University",AU10
"University of Pittsburgh",PITT10
"West Virginia University",WVU10
"University of Kentucky",UKY10
"University of Tennessee",UTENN10
"Auburn",AUBURN10
"University of Alabama",BAMA10
"Louisiana State University",LSU10
"University of Oklahoma",OU10
"Oklahoma State",OKSTATE10
"Kansas State",KSTATE10
"University of Kansas",KU10
"University of Nebraska",UNL10
"University of Missouri",MIZZOU10
"Washington University in St. Louis",WUSTL10
"University of Wisconsin-Milwaukee",UWM10
"Marquette",MARQUETTE10
"DePaul",DEPAUL10
"Illinois Institute of Technology",IIT10
"Loyola University Chicago",LOYOLACHI10
"University of Illinois Chicago",UIC10
"Clemson",CLEMSON10
"UCF",UCF10
"University of Georgia",UGA10
"University of Delaware",UDEL10
"University of Cincinnati",UCINCY10
"UC Irvine",UCIRVINE10
"UC Davis",UCDAVIS10
"Kent State",KENTSTATE10
